serial_number,block_number,trial_number,trial_id,trial_category,trial_gets_repeated,click_category,trial_repetitions,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_px,click_distance_to_start_center_touchup_px,click_distance_to_target_center_touchdown_px,click_distance_to_target_center_touchup_px,total_clicks_amount,clicks_amount_after_start_click,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
21,1,21,21,C5,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,10,375.3250682001365,5,30.631889763779533,right,180,103.2171413799376,467.38171808876496,225.74470043505573,467.38171808876496,85.37946319580078,470.0788879394531,87.1875,470.9270935058594,228.41517639160156,467.1101379394531,227.91294860839844,465.8377990722656,1.3678738754640707,18.04044035505486,16.41703656624865,2.6842499160826283,2.661763714290251,2,1,243.90000000596046,47.20000001788139,48
22,1,22,22,C6,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,8,300.2600545601092,16,98.02204724409451,right,180,204.12187244765218,368.08070298890357,326.6494315027703,368.08070298890357,205.01116943359375,372.3221740722656,205.01116943359375,373.3824462890625,343.72772216796875,367.6570129394531,343.72772216796875,366.5967712402344,1.06024169921875,4.333696583772481,5.375809813412756,17.08354545470604,17.14263881319654,2,1,249.2999999821186,66.30000001192093,54.900000005960464
23,1,23,23,C7,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,12,450.3900818401638,4,24.505511811023627,right,180,194.00391803167375,723.9720820794355,316.5314770867919,723.9720820794355,195.16741943359375,711.3958740234375,194.86607360839844,711.8199462890625,313.7946472167969,716.485107421875,312.3883972167969,716.485107421875,1.40625,12.629914670337987,12.182681006500243,7.97151348617375,8.556862762257609,2,1,293.40000000596046,42.30000001192093,47.80000001192093
24,1,24,24,C8,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,20,122.52755905511813,10,61.263779527559066,5,187.66253410006826,3,18.379133858267718,right,180,105.143469535462,646.0405958788114,227.67102859058014,646.0405958788114,101.35044860839844,651.172607421875,103.2589340209961,650.9605712890625,224.0959930419922,643.1146240234375,224.39732360839844,642.0543212890625,1.102289435118478,6.381578976341247,5.268551237556599,4.619760867415918,5.158248677142147,2,1,276,55.20000001788139,53.5
25,1,25,25,C9,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,10,375.3250682001365,3,18.379133858267718,right,180,84.76170666321417,513.2099487571611,299.1849350096709,513.2099487571611,87.28794860839844,516.7306518554688,91.10491180419922,516.7306518554688,297.9241027832031,514.610107421875,298.6272277832031,514.8222045898438,0.7344181195241333,4.333272282241387,7.254764073838117,1.8841821009852115,1.7059912720977148,2,1,350.80000001192093,65.2000000178814,47.5
26,1,26,26,C10,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,3,112.59752046004095,11,67.39015748031497,right,180,84.17910841519034,683.9600688422615,298.60233676164705,683.9600688422615,87.48883819580078,678.95166015625,90,680.43603515625,296.8192138671875,684.0409545898438,296.8192138671875,683.828857421875,0.21209716796875,6.003204876295278,6.80452733569731,1.7849565151307596,1.7879439850246046,2,1,494.09999999403954,56.20000001788139,38.400000005960464
27,1,27,27,C11,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,7,262.7275477400955,17,104.14842519685041,right,180,51.50192844345821,324.5386468202381,265.9251567899149,324.5386468202381,60.66964340209961,339.4538879394531,61.37276840209961,337.9695129394531,278.13616943359375,330.5476379394531,277.1317138671875,328.4270935058594,2.346409955598113,17.50746741271334,16.667982667419277,13.609438050665027,11.861995580554186,2,1,320.2999999821186,57.5,50.79999998211861
28,1,28,28,C12,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,2,75.0650136400273,6,36.758267716535435,right,180,170.20401498839567,681.4477135761756,384.6272433348524,681.4477135761756,178.69419860839844,681.92041015625,179.49777221679688,681.92041015625,384.1071472167969,681.0722045898438,384.609375,681.2842407226562,0.5451532517001116,8.50333228553238,9.305770547207452,0.6414880909513294,0.1644464995922875,2,1,561,47.599999994039536,39.599999994039536
29,1,29,29,C13,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,15,562.9876023002048,5,30.631889763779533,right,180,96.51445728383464,732.8408485923176,310.93768563029136,732.8408485923176,87.1875,740.4472045898438,89.09599304199219,740.4472045898438,302.74554443359375,727.2998657226562,303.1473388671875,727.7239990234375,0.5842326794167891,12.035314027293955,10.624982977332136,9.890079299404544,9.320496349441422,2,1,377.7000000178814,46.79999998211861,30
30,1,30,30,C14,false,C1 - Down Target | Up Target,0,none,rectangle,touch,155.61,6.126377952755907,412,826,35,214.4232283464567,10,61.263779527559066,2,75.0650136400273,9,55.137401574803164,right,180,78.97984909507028,726.7721592108517,293.403077441527,726.7721592108517,73.72767639160156,725.391357421875,76.33928680419922,725.8154907226562,293.203125,723.0587768554688,292.90179443359375,723.0587768554688,0.30133056640625,5.430647446437952,2.808519860758746,3.7187618229918677,3.7470646073042015,2,1,609.5,38.5,37.599999994039536
